Round,Method,PSNR,SSIM,NRMSE,Dice_WT,Dice_TC,Dice_ET
Round 3 — Multi-task,PP-MAE Pipeline,29.5271,0.9667,0.1159,0.9420,0.7874,0.7169
Round 3 — Multi-task,MultiTask-UNet,25.8332,0.9253,0.1764,0.9236,0.5610,0.5502
Round 3 — Multi-task,TransUNet-lite,30.5621,0.9736,0.1030,0.9113,0.5861,0.5363
Round 3 — Multi-task,UNETR-lite,19.2044,0.6037,0.3859,0.7763,0.0000,0.0000
Round 3 — Multi-task,SwinUNETR-lite,28.5219,0.9593,0.1320,0.9263,0.8307,0.7492
Round 3 — Multi-task,SeqPipeline,29.3184,0.9657,0.1195,0.9151,0.5593,0.5213
