Method,Short,PSNR,SSIM,NRMSE,Dice_WT,Dice_TC,Dice_ET,n_slices,n_et_undefined,MaskAtInference
PP-MAE-v2 (mask-free) [PROPOSED],PP-MAE-v2,22.5107,0.8210,0.2690,0.7195,0.3589,0.3072,232,57,False
PP-MAE-v1 (mask-gated),PP-MAE-v1,26.6305,0.9401,0.1608,0.7165,0.5779,0.5569,232,81,True
SwinIR-lite (L1),SwinIR-L1,30.5813,0.9751,0.1005,0.7672,0.5430,0.5134,232,85,False
Uformer-lite (L1),Uformer-L1,30.4220,0.9733,0.1031,0.7554,0.5120,0.5028,232,95,False
SwinIR + PathologyLoss,SwinIR+PL,30.1815,0.9725,0.1051,0.7441,0.5547,0.5086,232,76,False
Uformer + PathologyLoss,Uformer+PL,30.1541,0.9736,0.1059,0.7492,0.5823,0.5359,232,80,False
