method,subject,psnr,ssim,nrmse,dice_wt,dice_tc,dice_et
SwinIR + PathologyLoss,BraTS2021_00000,29.333055,0.9644866585731506,0.13682987,0.0,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00000,29.385874,0.9648428559303284,0.13286357,0.5338645418326693,0.5378151260504201,0.5378151260504201
SwinIR + PathologyLoss,BraTS2021_00000,29.27422,0.9662848711013794,0.1264301,0.8175895765472313,0.8008658008658008,0.7956521739130434
SwinIR + PathologyLoss,BraTS2021_00000,29.460121,0.9667503833770752,0.122268125,0.868995633187773,0.8632138114209827,0.8571428571428571
SwinIR + PathologyLoss,BraTS2021_00000,29.180773,0.9640469551086426,0.12345183,0.9181141439205955,0.8648111332007953,0.871587462082912
SwinIR + PathologyLoss,BraTS2021_00000,28.95239,0.9636210203170776,0.12297887,0.9408327246165084,0.9208400646203554,0.8924914675767918
SwinIR + PathologyLoss,BraTS2021_00000,28.852932,0.960233211517334,0.12452864,0.9366286438529785,0.9316939890710383,0.8702993092862624
SwinIR + PathologyLoss,BraTS2021_00000,28.76961,0.9620661735534668,0.12203679,0.9365798414496036,0.9181111775254035,0.848951048951049
SwinIR + PathologyLoss,BraTS2021_00000,28.784315,0.9610400199890137,0.11904453,0.9631901840490797,0.9505582137161085,0.907165109034268
SwinIR + PathologyLoss,BraTS2021_00000,28.74298,0.957852303981781,0.12229151,0.9602680708472954,0.95789995047053,0.895
SwinIR + PathologyLoss,BraTS2021_00000,28.4293,0.9588404893875122,0.12123113,0.9501630181648812,0.9395577395577396,0.8677316293929712
SwinIR + PathologyLoss,BraTS2021_00000,28.659088,0.9580935835838318,0.11799136,0.9609820254274442,0.9599627560521415,0.8976279650436954
SwinIR + PathologyLoss,BraTS2021_00000,29.229847,0.9600714445114136,0.11546486,0.9679376083188909,0.965205603253502,0.8825757575757576
SwinIR + PathologyLoss,BraTS2021_00000,29.25666,0.9654593467712402,0.110875025,0.9337223843268029,0.9386084583901774,0.8264580369843528
SwinIR + PathologyLoss,BraTS2021_00000,29.402922,0.9708737134933472,0.10372197,0.9567699836867863,0.9576234163390127,0.8378170637970792
SwinIR + PathologyLoss,BraTS2021_00000,29.529823,0.9710490703582764,0.10318004,0.9457305502846299,0.9620355411954766,0.8919597989949749
SwinIR + PathologyLoss,BraTS2021_00000,29.329063,0.9702895283699036,0.10669857,0.9385113268608414,0.9638364779874213,0.9094202898550725
SwinIR + PathologyLoss,BraTS2021_00000,29.325409,0.9706708788871765,0.10457916,0.9486638537271449,0.965705378020265,0.9114990969295605
SwinIR + PathologyLoss,BraTS2021_00000,29.143507,0.9705877304077148,0.105321884,0.9427101200686107,0.9548133595284872,0.9058240396530359
SwinIR + PathologyLoss,BraTS2021_00000,29.244663,0.9698848724365234,0.10702352,0.9300301305657851,0.9602543720190779,0.9079975947083584
SwinIR + PathologyLoss,BraTS2021_00000,29.179123,0.9719517827033997,0.10488482,0.9557764826876929,0.9590361445783132,0.8973570989551322
SwinIR + PathologyLoss,BraTS2021_00000,29.077284,0.9702252149581909,0.104434304,0.9456182888811916,0.9560306575231948,0.9008109794135996
SwinIR + PathologyLoss,BraTS2021_00000,29.308033,0.9703050255775452,0.10516321,0.9437259699405802,0.9379876796714579,0.8761528326745718
SwinIR + PathologyLoss,BraTS2021_00000,29.419685,0.9696506857872009,0.1050875,0.9551810684833274,0.9604887983706721,0.8834355828220859
SwinIR + PathologyLoss,BraTS2021_00000,29.30439,0.970363974571228,0.10258376,0.9798515376458112,0.9723352318958502,0.8937062937062937
SwinIR + PathologyLoss,BraTS2021_00000,29.55484,0.9696263670921326,0.10271734,0.9790854306983339,0.9774375503626108,0.8750862663906143
