Method,Reported,Fair,Delta,FP_rate,N_scored,N_positive,N_negative,N_false_pos
PP-MAE-v2 (mask-free) [PROPOSED],0.4593,0.5559,0.0966,0.3305,892,737,469,155
"PP-MAE-v2 (CMA only, no SAR)",0.4752,0.5558,0.0806,0.2665,862,737,469,125
"PP-MAE-v2 (SAR only, no CMA)",0.4054,0.5017,0.0963,0.3731,912,737,469,175
PP-MAE-v2 (neither module),0.4201,0.5484,0.1283,0.4797,962,737,469,225
PP-MAE-v1 (mask-gated),0.6455,0.6928,0.0473,0.1151,791,737,469,54
SwinIR-lite (L1),0.5402,0.579,0.0388,0.113,790,737,469,53
Uformer-lite (L1),0.5434,0.5648,0.0214,0.0618,766,737,469,29
SwinIR + PathologyLoss,0.6001,0.6603,0.0603,0.1578,811,737,469,74
Uformer + PathologyLoss,0.6134,0.6684,0.0549,0.1407,803,737,469,66
