Method,Short,PSNR,SSIM,NRMSE,Dice_WT,Dice_TC,Dice_ET,n_slices,n_et_undefined,MaskAtInference
PP-MAE-v2 (mask-free) [PROPOSED],v2-full,24.7923,0.9006,0.1895,0.7392,0.4593,0.4312,1206,334,False
"PP-MAE-v2 (CMA only, no SAR)",v2-CMA,25.1616,0.9151,0.1806,0.7531,0.4752,0.4509,1206,370,False
"PP-MAE-v2 (SAR only, no CMA)",v2-SAR,24.7671,0.9033,0.1892,0.7222,0.4054,0.3868,1206,314,False
PP-MAE-v2 (neither module),v2-none,24.4244,0.9039,0.1964,0.7428,0.4201,0.3940,1206,268,False
PP-MAE-v1 (mask-gated),PP-MAE-v1,26.9265,0.9465,0.1469,0.7895,0.6455,0.6350,1206,445,True
SwinIR-lite (L1),SwinIR-L1,31.1877,0.9787,0.0898,0.7578,0.5402,0.5326,1206,445,False
Uformer-lite (L1),Uformer-L1,31.3705,0.9792,0.0887,0.7572,0.5434,0.5288,1206,463,False
SwinIR + PathologyLoss,SwinIR+PL,30.7105,0.9760,0.0948,0.7595,0.6001,0.5846,1206,419,False
Uformer + PathologyLoss,Uformer+PL,30.9829,0.9780,0.0927,0.7718,0.6134,0.6061,1206,435,False
