method,subject,psnr,ssim,nrmse,dice_wt,dice_tc,dice_et
SwinIR + PathologyLoss,BraTS2021_00003,32.051113,0.9759092926979065,0.0975603,0.0,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00003,32.18853,0.9784957766532898,0.096081376,0.0,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00003,32.141144,0.9783026576042175,0.09691355,0.8495867768595041,0.8517241379310345,0.8517241379310345
SwinIR + PathologyLoss,BraTS2021_00003,32.285942,0.9796189665794373,0.094131894,0.854066985645933,0.8504551365409623,0.8444444444444444
SwinIR + PathologyLoss,BraTS2021_00003,32.10707,0.9796919226646423,0.093468696,0.9105545617173524,0.918974358974359,0.871331828442438
SwinIR + PathologyLoss,BraTS2021_00003,32.222458,0.9801293015480042,0.09175936,0.9490494296577947,0.9196956889264581,0.8582914572864322
SwinIR + PathologyLoss,BraTS2021_00003,32.469326,0.9812172651290894,0.08918845,0.9351170568561873,0.9496183206106871,0.8893360160965795
SwinIR + PathologyLoss,BraTS2021_00003,32.52539,0.9802613258361816,0.08949239,0.956949569495695,0.9531568228105907,0.8658318425760286
SwinIR + PathologyLoss,BraTS2021_00003,32.85025,0.9807881712913513,0.0867442,0.9592861126603458,0.9495073891625616,0.8440999138673557
SwinIR + PathologyLoss,BraTS2021_00003,32.97013,0.9814385771751404,0.08495667,0.9531027948839412,0.9469074986316366,0.8720626631853786
SwinIR + PathologyLoss,BraTS2021_00003,32.75335,0.9816123843193054,0.08557355,0.9505271695052717,0.9441312147616607,0.8266883645240033
SwinIR + PathologyLoss,BraTS2021_00003,33.003124,0.9824299216270447,0.08166235,0.9640084685956246,0.9381294964028777,0.8211708099438653
SwinIR + PathologyLoss,BraTS2021_00003,33.207935,0.9831646084785461,0.07944015,0.962425007893906,0.9407985314364388,0.8299319727891157
SwinIR + PathologyLoss,BraTS2021_00003,33.015812,0.9839727878570557,0.07959581,0.9638273045507585,0.9555555555555556,0.8306382978723404
SwinIR + PathologyLoss,BraTS2021_00003,33.407196,0.9842145442962646,0.078728035,0.9721071527202431,0.9433801617709664,0.8411053540587219
SwinIR + PathologyLoss,BraTS2021_00003,33.095345,0.9836631417274475,0.078158334,0.9813599369913363,0.9412731006160164,0.820292347377472
SwinIR + PathologyLoss,BraTS2021_00003,32.999866,0.9851941466331482,0.07834734,0.9735582976580206,0.9457928802588996,0.7935076645626691
SwinIR + PathologyLoss,BraTS2021_00003,32.876083,0.9819883704185486,0.08265679,0.9797530864197531,0.9413604378420641,0.8100810081008101
SwinIR + PathologyLoss,BraTS2021_00003,32.97384,0.9859314560890198,0.07608805,0.9785714285714285,0.9334853667806917,0.7796024200518582
SwinIR + PathologyLoss,BraTS2021_00003,33.079628,0.9835288524627686,0.07908141,0.972032902467685,0.9367945823927766,0.7938671209540034
SwinIR + PathologyLoss,BraTS2021_00003,33.127636,0.9832515716552734,0.07857603,0.9639055992596021,0.9213235294117647,0.7422360248447205
SwinIR + PathologyLoss,BraTS2021_00003,32.770523,0.9844009280204773,0.078824304,0.9633928571428572,0.9343715239154616,0.790986790986791
SwinIR + PathologyLoss,BraTS2021_00003,32.85338,0.9835934638977051,0.08093042,0.9716312056737588,0.9414381022979985,0.8040278853601859
SwinIR + PathologyLoss,BraTS2021_00003,32.41241,0.9853020310401917,0.08007226,0.9733447979363714,0.9331384727804165,0.8031609195402298
SwinIR + PathologyLoss,BraTS2021_00003,32.516705,0.9824323058128357,0.08205449,0.9677554438860971,0.9260293091416608,0.8188358404185743
SwinIR + PathologyLoss,BraTS2021_00003,32.62998,0.9834976196289062,0.08132978,0.979235880398671,0.9632508833922262,0.8631857237276933
SwinIR + PathologyLoss,BraTS2021_00003,32.615158,0.98580402135849,0.07879341,0.9759085340955492,0.9704521181915272,0.8879946344735077
SwinIR + PathologyLoss,BraTS2021_00003,32.404095,0.9841583371162415,0.08161236,0.9778221778221778,0.9503149055283415,0.8359326263256395
SwinIR + PathologyLoss,BraTS2021_00003,32.603405,0.9847890734672546,0.08171346,0.9776723967595337,0.9603174603174603,0.8702388637830859
SwinIR + PathologyLoss,BraTS2021_00003,32.76768,0.985822319984436,0.078580074,0.9818754925137904,0.9645654606490116,0.882786336235767
SwinIR + PathologyLoss,BraTS2021_00003,32.42402,0.9849702715873718,0.08199872,0.979891724671307,0.9350356740518213,0.8260061919504644
SwinIR + PathologyLoss,BraTS2021_00003,32.14721,0.9852754473686218,0.0828543,0.9728904161893852,0.9538461538461539,0.8653846153846154
SwinIR + PathologyLoss,BraTS2021_00003,32.172577,0.983360767364502,0.08589339,0.9823472356935015,0.9532554257095158,0.8789084707220012
SwinIR + PathologyLoss,BraTS2021_00003,32.231987,0.9846044778823853,0.08344002,0.9828841235490852,0.9561717352415027,0.8938356164383562
SwinIR + PathologyLoss,BraTS2021_00003,31.999985,0.984207272529602,0.085222885,0.9805295950155763,0.9641819941916747,0.9242144177449169
SwinIR + PathologyLoss,BraTS2021_00003,31.985214,0.9842433929443359,0.08580111,0.9740645416749159,0.9372128637059725,0.8820577164366374
SwinIR + PathologyLoss,BraTS2021_00003,31.815512,0.9826858639717102,0.08838782,0.9725330620549338,0.9568717653824037,0.9119241192411924
SwinIR + PathologyLoss,BraTS2021_00003,31.748352,0.9844443798065186,0.08822716,0.9709181553801413,0.9571603427172583,0.9215686274509803
SwinIR + PathologyLoss,BraTS2021_00003,31.728863,0.9811645150184631,0.09159149,0.9628830384117393,0.955363091272485,0.924907063197026
SwinIR + PathologyLoss,BraTS2021_00003,31.580624,0.983004629611969,0.09215239,0.9638501742160279,0.9581464872944694,0.9323671497584541
SwinIR + PathologyLoss,BraTS2021_00003,31.34598,0.9794805645942688,0.09777355,0.962929061784897,0.9534883720930233,0.925531914893617
SwinIR + PathologyLoss,BraTS2021_00003,31.16226,0.9822884798049927,0.09652452,0.9697392923649907,0.894,0.894
SwinIR + PathologyLoss,BraTS2021_00003,31.037931,0.980837881565094,0.10045647,0.9743957884661403,0.9234629861982434,0.9234629861982434
SwinIR + PathologyLoss,BraTS2021_00003,30.64085,0.9802557229995728,0.10386785,0.9681059862610403,0.9186875891583453,0.9186875891583453
SwinIR + PathologyLoss,BraTS2021_00003,30.495214,0.979958713054657,0.10666606,0.9700944386149003,0.8807339449541285,0.8807339449541285
SwinIR + PathologyLoss,BraTS2021_00003,30.594893,0.9801692962646484,0.11053892,0.9549957543164449,0.8681318681318682,0.8681318681318682
SwinIR + PathologyLoss,BraTS2021_00003,30.496414,0.9800572395324707,0.11127801,0.9029947916666666,0.019230769230769232,0.019230769230769232
SwinIR + PathologyLoss,BraTS2021_00003,30.588514,0.9783639907836914,0.11823945,0.9053003533568904,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00003,30.68178,0.9805010557174683,0.11758728,0.9461457233368532,nan,nan
SwinIR + PathologyLoss,BraTS2021_00003,30.451773,0.982082188129425,0.119802736,0.9705075445816187,nan,nan
SwinIR + PathologyLoss,BraTS2021_00003,30.288685,0.9815908074378967,0.124962926,0.943342776203966,nan,nan
SwinIR + PathologyLoss,BraTS2021_00003,30.4128,0.9816714525222778,0.12998916,0.9204073934364391,nan,nan
SwinIR + PathologyLoss,BraTS2021_00003,30.387175,0.9825220704078674,0.13365403,0.945839874411303,nan,nan
SwinIR + PathologyLoss,BraTS2021_00003,30.308582,0.983033299446106,0.13744882,0.961522198731501,nan,nan
SwinIR + PathologyLoss,BraTS2021_00003,30.436993,0.9825218915939331,0.14548503,0.9620018535681186,nan,nan
SwinIR + PathologyLoss,BraTS2021_00003,30.606968,0.9807677268981934,0.15847836,0.9571734475374732,nan,nan
SwinIR + PathologyLoss,BraTS2021_00003,30.671345,0.9798458814620972,0.17157252,0.8851269649334945,nan,nan
SwinIR + PathologyLoss,BraTS2021_00003,31.92706,0.9808249473571777,0.17532474,0.781404549950544,nan,nan
SwinIR + PathologyLoss,BraTS2021_00011,30.82183,0.96223384141922,0.095455594,0.7755102040816326,nan,nan
SwinIR + PathologyLoss,BraTS2021_00011,31.18702,0.967890739440918,0.091070145,0.8281829419035847,nan,nan
SwinIR + PathologyLoss,BraTS2021_00011,31.0536,0.9697673916816711,0.08808444,0.8265213442325159,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00011,30.91254,0.9679048657417297,0.08992401,0.8280647648419429,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00011,31.113323,0.9684986472129822,0.08912875,0.9141150112023898,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00011,31.215029,0.9698410034179688,0.087863274,0.8867235079171741,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00011,31.25835,0.9708630442619324,0.087278575,0.9020100502512562,nan,nan
SwinIR + PathologyLoss,BraTS2021_00011,31.286337,0.9698302149772644,0.08869953,0.8976377952755905,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00011,31.323156,0.9722164869308472,0.08638542,0.9646662927650028,nan,nan
SwinIR + PathologyLoss,BraTS2021_00011,31.385744,0.9757511019706726,0.08222311,0.9770491803278688,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00011,31.298737,0.9774157404899597,0.08177777,0.9746974697469747,nan,nan
SwinIR + PathologyLoss,BraTS2021_00011,31.463924,0.9786235690116882,0.08002133,0.9719827586206896,0.0,0.0
