Round,Method,PSNR,SSIM,NRMSE,Dice_WT,Dice_TC,Dice_ET
Round 4 — Swin,PP-MAE (Swin) [PROPOSED],12.5390,-0.0251,0.7465,0.0000,0.0000,0.0000
Round 4 — Swin,SwinIR-lite (L1),17.9162,0.5107,0.4067,0.0000,0.0000,0.0000
Round 4 — Swin,Uformer-lite (L1),16.3099,0.3599,0.4901,0.0000,0.0000,0.0000
Round 4 — Swin,SwinIR + PathologyLoss,16.6207,0.5207,0.4705,0.0000,0.0000,0.0000
Round 4 — Swin,Uformer + PathologyLoss,16.1404,0.3921,0.4931,0.0000,0.0000,0.0000
