method,subject,psnr,ssim,nrmse,dice_wt,dice_tc,dice_et
SwinIR + PathologyLoss,BraTS2021_00002,32.398537,0.9801974892616272,0.15810989,0.0,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,32.07892,0.9798462986946106,0.15685499,0.0,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,31.562109,0.9788983464241028,0.15795274,0.006666666666666667,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,31.763685,0.980457067489624,0.1487226,0.30153846153846153,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,31.62137,0.9799381494522095,0.14781305,0.12962962962962962,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,31.16357,0.9785956144332886,0.1493975,0.2994011976047904,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.699556,0.9778311848640442,0.14808473,0.8602941176470589,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.41214,0.975630521774292,0.15086457,0.9005376344086021,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.748194,0.9756391644477844,0.14610352,0.895040369088812,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.75325,0.9766769409179688,0.13958152,0.8826714801444043,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.383291,0.9750045537948608,0.14150001,0.9098712446351931,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.653294,0.9752607345581055,0.13609916,0.9064279902359642,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.621239,0.9746169447898865,0.1314485,0.8319039451114922,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.386051,0.9734101891517639,0.13254121,0.8776859504132232,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.608377,0.9730311036109924,0.12970331,0.9185291997116077,0.0,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.71394,0.9723928570747375,0.1290891,0.56071076011846,0.0,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.43607,0.9708482623100281,0.13257377,0.8097631012203876,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.56593,0.9712044596672058,0.13171151,0.028833551769331587,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.27929,0.9703835248947144,0.13188568,0.22065727699530516,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.139309,0.9680226445198059,0.13540992,0.0,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,29.864948,0.9689918756484985,0.12999049,0.4938036224976168,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00002,29.596676,0.9673148393630981,0.13049346,0.77088948787062,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00002,29.690598,0.9621198773384094,0.13110115,0.709541381128097,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00002,30.056671,0.9655969142913818,0.120726,0.8463749600766528,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00002,30.157516,0.965248703956604,0.11595869,0.8436185133239832,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00002,30.24441,0.9614044427871704,0.11663868,0.6636894537959465,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00002,30.379751,0.9608958959579468,0.11412373,0.7860169491525424,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00002,30.30299,0.9627419710159302,0.11018358,0.7668231611893583,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00002,30.484964,0.9607403874397278,0.11162859,0.8410899445382204,0.07142857142857142,0.08888888888888889
SwinIR + PathologyLoss,BraTS2021_00002,30.755745,0.9671463966369629,0.104083076,0.7691231343283582,0.28860759493670884,0.25
SwinIR + PathologyLoss,BraTS2021_00002,31.273026,0.9685956835746765,0.09964123,0.7933319085274632,0.4863636363636364,0.4863636363636364
SwinIR + PathologyLoss,BraTS2021_00002,31.177357,0.9687861800193787,0.09999932,0.8391370174110523,0.34057971014492755,0.3161764705882353
SwinIR + PathologyLoss,BraTS2021_00002,31.329647,0.9717850089073181,0.09579903,0.8567664219838133,0.4243964421855146,0.4270833333333333
SwinIR + PathologyLoss,BraTS2021_00002,31.174683,0.9726455211639404,0.09632451,0.9305292191001552,0.519742883379247,0.5088536812674743
SwinIR + PathologyLoss,BraTS2021_00002,31.108238,0.972895622253418,0.09634225,0.960309451732257,0.5968790637191157,0.5674232309746329
SwinIR + PathologyLoss,BraTS2021_00002,31.076088,0.9751029014587402,0.09479282,0.9214469502043288,0.47115384615384615,0.4851138353765324
SwinIR + PathologyLoss,BraTS2021_00002,31.098682,0.9732111692428589,0.094250135,0.9032258064516129,0.6918982850384388,0.6
SwinIR + PathologyLoss,BraTS2021_00002,31.042526,0.974055826663971,0.09383945,0.9141538461538462,0.6319404693760733,0.6753078418664938
SwinIR + PathologyLoss,BraTS2021_00002,30.858452,0.9745190739631653,0.09464534,0.882502619368358,0.4651685393258427,0.4819759679572764
SwinIR + PathologyLoss,BraTS2021_00002,30.95379,0.9757387042045593,0.09299035,0.8749616916947595,0.5083467959073775,0.5357372826786864
SwinIR + PathologyLoss,BraTS2021_00002,30.918121,0.9771475195884705,0.0914739,0.8777273392883291,0.6041366041366041,0.6654366543665436
SwinIR + PathologyLoss,BraTS2021_00002,30.922173,0.977169394493103,0.091653,0.8987708879988952,0.47613636363636364,0.5910867865519938
SwinIR + PathologyLoss,BraTS2021_00002,30.92154,0.9799031615257263,0.088152386,0.8875924871940808,0.41739130434782606,0.5246212121212122
SwinIR + PathologyLoss,BraTS2021_00002,31.237122,0.9808973073959351,0.085761845,0.8940194714881781,0.5634386328327291,0.6823324630113142
SwinIR + PathologyLoss,BraTS2021_00002,31.294312,0.9799685478210449,0.08664742,0.9092124615590319,0.590539894887721,0.6947697111631538
SwinIR + PathologyLoss,BraTS2021_00002,31.110443,0.9825940132141113,0.084435515,0.9224220788136757,0.42742857142857144,0.6744639376218323
SwinIR + PathologyLoss,BraTS2021_00002,31.111338,0.9814236164093018,0.085854396,0.9067002377954959,0.4121004566210046,0.6435845213849287
SwinIR + PathologyLoss,BraTS2021_00002,31.230707,0.9809778332710266,0.085622504,0.8965620777661012,0.8434343434343434,0.7013201320132013
SwinIR + PathologyLoss,BraTS2021_00002,31.132269,0.9819627404212952,0.08444653,0.8859514294497387,0.5684210526315789,0.625
SwinIR + PathologyLoss,BraTS2021_00002,31.05473,0.9830692410469055,0.08369063,0.8834045246005379,0.76981852913085,0.6767485822306238
SwinIR + PathologyLoss,BraTS2021_00002,31.412006,0.9828448295593262,0.08278125,0.9004648180798205,0.46117084826762245,0.6996047430830039
SwinIR + PathologyLoss,BraTS2021_00002,31.065857,0.9824101328849792,0.08569346,0.9001327140013271,0.4672330097087379,0.630859375
SwinIR + PathologyLoss,BraTS2021_00002,31.180075,0.9830290079116821,0.08283982,0.9222674813306178,0.54375,0.7264150943396226
SwinIR + PathologyLoss,BraTS2021_00002,31.446644,0.9836395382881165,0.08182215,0.8979232664554734,0.6961953435547984,0.6666666666666666
SwinIR + PathologyLoss,BraTS2021_00002,31.610525,0.9847630262374878,0.07961883,0.9133031674208145,0.3723325974981604,0.5102040816326531
SwinIR + PathologyLoss,BraTS2021_00002,31.702145,0.9854779839515686,0.07884144,0.91690641394483,0.8138328530259366,0.7203389830508474
SwinIR + PathologyLoss,BraTS2021_00002,31.62717,0.9862695932388306,0.0770791,0.9355860612460402,0.5615686274509804,0.637546468401487
SwinIR + PathologyLoss,BraTS2021_00002,32.164093,0.9865396618843079,0.077479705,0.9093036863662961,0.5697278911564626,0.6528925619834711
SwinIR + PathologyLoss,BraTS2021_00002,32.28032,0.9870544672012329,0.07568064,0.9174347911355167,0.446,0.5425
SwinIR + PathologyLoss,BraTS2021_00002,32.030937,0.9875128865242004,0.075837165,0.9181713407606608,0.6986425339366515,0.7196467991169978
SwinIR + PathologyLoss,BraTS2021_00002,32.147556,0.9879725575447083,0.07439503,0.9510732933668536,0.6597222222222222,0.7117346938775511
SwinIR + PathologyLoss,BraTS2021_00002,32.001392,0.98797208070755,0.075182654,0.945292147376256,0.7887029288702929,0.7628607277289837
SwinIR + PathologyLoss,BraTS2021_00002,32.196083,0.9872770309448242,0.07549348,0.9407869107908063,0.816,0.7687687687687688
SwinIR + PathologyLoss,BraTS2021_00002,32.12714,0.986609160900116,0.07717048,0.9686031208873849,0.8365817091454273,0.791095890410959
SwinIR + PathologyLoss,BraTS2021_00002,32.04851,0.9859043955802917,0.07708265,0.9679524083669161,0.7912457912457912,0.7410207939508506
SwinIR + PathologyLoss,BraTS2021_00002,32.071896,0.9859920740127563,0.077567115,0.9728643216080402,0.8285163776493256,0.8
SwinIR + PathologyLoss,BraTS2021_00002,32.196415,0.9826588034629822,0.080566645,0.9724009130525005,0.7211538461538461,0.7197943444730077
SwinIR + PathologyLoss,BraTS2021_00002,32.14256,0.9824292063713074,0.079914145,0.9723512497235125,0.8465608465608465,0.8323353293413174
SwinIR + PathologyLoss,BraTS2021_00002,32.087933,0.9814109802246094,0.081853785,0.9588467798186469,0.65625,0.6638297872340425
SwinIR + PathologyLoss,BraTS2021_00002,31.922733,0.9812288880348206,0.083234034,0.970970970970971,0.7575757575757576,0.7487179487179487
SwinIR + PathologyLoss,BraTS2021_00002,31.621494,0.9795006513595581,0.08621696,0.9625099707524595,0.822429906542056,0.822429906542056
SwinIR + PathologyLoss,BraTS2021_00002,31.76659,0.9810065627098083,0.0841336,0.9574655324141977,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00002,31.6837,0.9786838293075562,0.089557745,0.9687191307211064,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,31.48743,0.9807852506637573,0.08671737,0.966690290574061,0.0,nan
SwinIR + PathologyLoss,BraTS2021_00002,31.353857,0.9794011116027832,0.09093731,0.9747634069400631,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,31.137896,0.9794061779975891,0.092769235,0.967687074829932,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,31.009857,0.9765059351921082,0.09664618,0.9673704414587332,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.760328,0.9753856062889099,0.10040302,0.94225580140313,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.851822,0.9735597968101501,0.103328496,0.9694209499024072,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.474163,0.9728574156761169,0.10682603,0.9528049866429208,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.593655,0.9747399687767029,0.104188,0.942578548212351,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.684875,0.9735786318778992,0.10742199,0.9500713266761769,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.47424,0.9713139533996582,0.11289015,0.9217758985200846,nan,nan
SwinIR + PathologyLoss,BraTS2021_00002,30.450886,0.9730214476585388,0.11317556,0.851985559566787,nan,nan
SwinIR + PathologyLoss,BraTS2021_00014,31.87912,0.9850303530693054,0.14735343,0.0,nan,nan
SwinIR + PathologyLoss,BraTS2021_00014,31.721802,0.9845196008682251,0.14558765,0.0,nan,nan
SwinIR + PathologyLoss,BraTS2021_00014,31.500923,0.986096978187561,0.13680351,0.0967741935483871,nan,nan
SwinIR + PathologyLoss,BraTS2021_00014,31.282406,0.9849130511283875,0.13984543,0.0,nan,nan
SwinIR + PathologyLoss,BraTS2021_00014,31.297947,0.9863192439079285,0.13124467,0.0,nan,nan
SwinIR + PathologyLoss,BraTS2021_00014,31.478897,0.9863747954368591,0.12920202,0.0,nan,nan
SwinIR + PathologyLoss,BraTS2021_00014,31.451857,0.9853093028068542,0.13226898,0.0,nan,nan
SwinIR + PathologyLoss,BraTS2021_00014,31.127604,0.9859220385551453,0.1277245,0.0,nan,nan
SwinIR + PathologyLoss,BraTS2021_00014,31.218925,0.9861987829208374,0.12523244,0.3352272727272727,0.36363636363636365,0.36363636363636365
SwinIR + PathologyLoss,BraTS2021_00014,30.766026,0.9852966070175171,0.12846693,0.49767441860465117,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00014,30.076424,0.9818643927574158,0.1372178,0.16844919786096257,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00014,29.873468,0.9809965491294861,0.13549304,0.754653130287648,0.5263157894736842,0.5263157894736842
SwinIR + PathologyLoss,BraTS2021_00014,29.471025,0.9795441031455994,0.13455999,0.8348954578226387,0.2926829268292683,0.2926829268292683
SwinIR + PathologyLoss,BraTS2021_00014,29.467602,0.9785466194152832,0.13225898,0.6599378881987578,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00014,29.206598,0.9775819182395935,0.1277484,0.836046511627907,0.6666666666666666,0.6666666666666666
SwinIR + PathologyLoss,BraTS2021_00014,29.240705,0.9764198660850525,0.12540387,0.8993506493506493,0.32,0.32
SwinIR + PathologyLoss,BraTS2021_00014,29.003654,0.9760116338729858,0.12110954,0.8850408850408851,0.1925925925925926,0.1925925925925926
SwinIR + PathologyLoss,BraTS2021_00014,29.03538,0.9738390445709229,0.11963198,0.8178398710370769,0.12698412698412698,0.12698412698412698
SwinIR + PathologyLoss,BraTS2021_00014,29.313068,0.9736354947090149,0.11543948,0.4575342465753425,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00014,29.208029,0.9727065563201904,0.1146899,0.3540462427745665,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00014,29.291252,0.972838819026947,0.11205546,0.832442933462846,0.39846743295019155,0.4
SwinIR + PathologyLoss,BraTS2021_00014,29.200138,0.973119854927063,0.10921762,0.8331822302810517,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00014,29.20288,0.9704692959785461,0.1099727,0.8578274760383386,0.44274809160305345,0.44274809160305345
SwinIR + PathologyLoss,BraTS2021_00014,29.274628,0.9707207679748535,0.107928365,0.9003630496167809,0.5086206896551724,0.5086206896551724
SwinIR + PathologyLoss,BraTS2021_00014,29.516975,0.9683274030685425,0.10575281,0.5413043478260869,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00014,29.253235,0.9707344174385071,0.10440153,0.853855986365573,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00014,29.44299,0.9659648537635803,0.10486834,0.7371456030754445,0.4685714285714286,0.4685714285714286
SwinIR + PathologyLoss,BraTS2021_00014,29.237068,0.969087541103363,0.10381204,0.8624567474048442,0.4457831325301205,0.4457831325301205
SwinIR + PathologyLoss,BraTS2021_00014,29.43124,0.9699547290802002,0.09931989,0.8822269807280514,0.34782608695652173,0.35658914728682173
SwinIR + PathologyLoss,BraTS2021_00014,29.471876,0.9721212387084961,0.10019209,0.8535309503051438,0.23076923076923078,0.23076923076923078
SwinIR + PathologyLoss,BraTS2021_00014,29.413778,0.9716995358467102,0.100487575,0.8886168910648715,0.6845637583892618,0.7596899224806202
SwinIR + PathologyLoss,BraTS2021_00014,29.42499,0.9728581309318542,0.09834798,0.8629270350063264,0.33962264150943394,0.33962264150943394
SwinIR + PathologyLoss,BraTS2021_00014,29.445734,0.9719058275222778,0.09986413,0.8497453310696095,0.42105263157894735,0.42105263157894735
SwinIR + PathologyLoss,BraTS2021_00014,29.579922,0.9706567525863647,0.09956653,0.8513220632856524,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00014,29.542484,0.9738282561302185,0.09857323,0.9030013049151805,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00014,29.331234,0.9718233942985535,0.1000379,0.9147072383586906,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00014,29.399162,0.9751969575881958,0.09766015,0.9026845637583892,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00014,29.51358,0.9745309352874756,0.097985886,0.8682719546742209,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00014,29.556183,0.9753125905990601,0.09752985,0.892416225749559,0.0,0.0
