Method,Short,PSNR,SSIM,NRMSE,Dice_WT,Dice_TC,Dice_ET,n_slices,n_et_undefined,MaskAtInference
PP-MAE-v2 (mask-free) [PROPOSED],PP-MAE-v2,24.8347,0.9038,0.1881,0.7471,0.4553,0.4291,1206,316,False
PP-MAE-v1 (mask-gated),PP-MAE-v1,26.7484,0.9447,0.1506,0.7797,0.6399,0.6320,1206,455,True
SwinIR-lite (L1),SwinIR-L1,31.1940,0.9783,0.0898,0.7545,0.5299,0.5222,1206,447,False
Uformer-lite (L1),Uformer-L1,31.3778,0.9792,0.0886,0.7619,0.5483,0.5338,1206,454,False
SwinIR + PathologyLoss,SwinIR+PL,30.5343,0.9757,0.0968,0.7589,0.5999,0.5894,1206,411,False
Uformer + PathologyLoss,Uformer+PL,30.9902,0.9780,0.0921,0.7680,0.6196,0.6055,1206,437,False
