method,subject,psnr,ssim,nrmse,dice_wt,dice_tc,dice_et
Uformer + PathologyLoss,BraTS2021_00000,29.2669,0.963822066783905,0.13787602,0.0,0.0,0.0
Uformer + PathologyLoss,BraTS2021_00000,29.447136,0.9650369882583618,0.13192979,0.5984848484848485,0.5976095617529881,0.5976095617529881
Uformer + PathologyLoss,BraTS2021_00000,29.317972,0.9669023752212524,0.12579486,0.8641221374045801,0.8577154308617234,0.8577154308617234
Uformer + PathologyLoss,BraTS2021_00000,29.42932,0.9671741724014282,0.122702494,0.8983050847457628,0.8851612903225806,0.8793774319066148
Uformer + PathologyLoss,BraTS2021_00000,29.351873,0.9661102294921875,0.12104378,0.9160432252701579,0.873767258382643,0.872617853560682
Uformer + PathologyLoss,BraTS2021_00000,29.13549,0.9661348462104797,0.120413624,0.944081336238199,0.9371519490851233,0.9171548117154812
Uformer + PathologyLoss,BraTS2021_00000,29.07321,0.9629113078117371,0.12141025,0.9490683229813665,0.9436241610738255,0.8932038834951457
Uformer + PathologyLoss,BraTS2021_00000,29.003353,0.9651660919189453,0.11879647,0.947310038824182,0.931924882629108,0.8697421981004071
Uformer + PathologyLoss,BraTS2021_00000,28.929081,0.9634130597114563,0.117076874,0.9706477732793523,0.959830866807611,0.9234567901234568
Uformer + PathologyLoss,BraTS2021_00000,29.095703,0.9624071717262268,0.117424905,0.9660774008600096,0.9635826771653543,0.9136253041362531
Uformer + PathologyLoss,BraTS2021_00000,28.85574,0.9640414714813232,0.11542299,0.9584285061671997,0.9605769230769231,0.9096496619545175
Uformer + PathologyLoss,BraTS2021_00000,29.054573,0.962652325630188,0.11273947,0.9660869565217391,0.9672961768770152,0.9128580134064594
Uformer + PathologyLoss,BraTS2021_00000,29.674559,0.9651128649711609,0.10970193,0.9758203799654577,0.972658000896459,0.8996923076923077
Uformer + PathologyLoss,BraTS2021_00000,29.699669,0.9698091149330139,0.10536184,0.9346026490066225,0.9428699955015745,0.848318462594372
Uformer + PathologyLoss,BraTS2021_00000,29.76616,0.9741563200950623,0.09947384,0.9524950099800399,0.9629629629629629,0.8621700879765396
Uformer + PathologyLoss,BraTS2021_00000,29.839245,0.9740731716156006,0.09956911,0.9324473975636767,0.9531062124248497,0.8861538461538462
Uformer + PathologyLoss,BraTS2021_00000,29.898119,0.9744269847869873,0.099932306,0.9321492007104796,0.95655546935609,0.9165687426556992
Uformer + PathologyLoss,BraTS2021_00000,29.810215,0.9744188785552979,0.09890195,0.9360667129951356,0.9629629629629629,0.9112567004169149
Uformer + PathologyLoss,BraTS2021_00000,29.54114,0.9737380146980286,0.100609034,0.9419842087195331,0.9580093312597201,0.9048780487804878
Uformer + PathologyLoss,BraTS2021_00000,29.64202,0.9729667901992798,0.1022378,0.9409757761856021,0.9616145627225959,0.9088714544357273
Uformer + PathologyLoss,BraTS2021_00000,29.56416,0.9750486612319946,0.10033693,0.9464466150218929,0.9584996009577015,0.9009661835748792
Uformer + PathologyLoss,BraTS2021_00000,29.582077,0.9742294549942017,0.09853797,0.9490820921371667,0.9634097305991154,0.90863890615289
Uformer + PathologyLoss,BraTS2021_00000,29.952906,0.9752741456031799,0.09763829,0.9481327800829875,0.9648842777334398,0.9074778200253485
Uformer + PathologyLoss,BraTS2021_00000,29.995308,0.9743537306785583,0.09834897,0.961799357372367,0.9710378117457763,0.9053606882859033
Uformer + PathologyLoss,BraTS2021_00000,29.776157,0.9741712212562561,0.09716061,0.9766949152542372,0.9805668016194332,0.9117241379310345
Uformer + PathologyLoss,BraTS2021_00000,30.121735,0.9743430018424988,0.096227475,0.9703808180535967,0.9799357945425361,0.8957632817753867
Uformer + PathologyLoss,BraTS2021_00000,29.896713,0.9742256999015808,0.09608945,0.9824067558057706,0.9726907630522088,0.89490245437382
Uformer + PathologyLoss,BraTS2021_00000,29.79083,0.9748572111129761,0.09534407,0.978076379066478,0.9746524938675388,0.9014962593516209
Uformer + PathologyLoss,BraTS2021_00000,30.26942,0.9739903807640076,0.09453129,0.9750356633380884,0.9735973597359736,0.8923076923076924
Uformer + PathologyLoss,BraTS2021_00000,29.957413,0.9730238914489746,0.09594509,0.9729529455353835,0.9764309764309764,0.8861892583120204
Uformer + PathologyLoss,BraTS2021_00000,30.03333,0.97626793384552,0.093605325,0.9757038179714617,0.968736239542052,0.9027498323272971
Uformer + PathologyLoss,BraTS2021_00000,30.055283,0.9755502343177795,0.09312037,0.9644710578842315,0.9682758620689655,0.9019867549668874
Uformer + PathologyLoss,BraTS2021_00000,30.188864,0.9765241146087646,0.09167912,0.9751787968026925,0.9718446601941747,0.9034391534391535
Uformer + PathologyLoss,BraTS2021_00000,30.12995,0.9760088324546814,0.09293812,0.9622980251346499,0.9577023498694517,0.9070385126162018
Uformer + PathologyLoss,BraTS2021_00000,30.056307,0.9757385849952698,0.09364182,0.9652546406473108,0.9512893982808023,0.9077912794853467
Uformer + PathologyLoss,BraTS2021_00000,30.160143,0.977029025554657,0.09235411,0.9595435684647303,0.9346534653465347,0.880066170388751
Uformer + PathologyLoss,BraTS2021_00000,30.307219,0.9788245558738708,0.08891739,0.9274521183981428,0.9233176838810642,0.8776290630975143
Uformer + PathologyLoss,BraTS2021_00000,30.949207,0.9820610284805298,0.08411002,0.906312292358804,0.9290909090909091,0.8787878787878788
Uformer + PathologyLoss,BraTS2021_00000,30.937273,0.9827554821968079,0.08233981,0.9045709703287891,0.8883553421368547,0.8451776649746193
Uformer + PathologyLoss,BraTS2021_00000,31.186686,0.984143078327179,0.079868965,0.8390918065153011,0.8412698412698413,0.8412698412698413
Uformer + PathologyLoss,BraTS2021_00000,31.518145,0.9856724143028259,0.078792915,0.7488721804511278,0.75,0.75
Uformer + PathologyLoss,BraTS2021_00000,31.867233,0.9873693585395813,0.07450624,0.6569037656903766,0.5057471264367817,0.5057471264367817
Uformer + PathologyLoss,BraTS2021_00000,31.917904,0.9872543811798096,0.075668365,0.4594594594594595,0.0,0.0
Uformer + PathologyLoss,BraTS2021_00006,30.613813,0.9759976267814636,0.104877695,0.8593155893536122,nan,nan
Uformer + PathologyLoss,BraTS2021_00006,30.653875,0.9775838255882263,0.10268064,0.6875,nan,nan
Uformer + PathologyLoss,BraTS2021_00006,30.788977,0.9781562685966492,0.098872215,0.9324009324009324,nan,nan
Uformer + PathologyLoss,BraTS2021_00006,31.090614,0.9835075736045837,0.09075007,0.9044368600682594,nan,nan
Uformer + PathologyLoss,BraTS2021_00006,31.588747,0.9837074279785156,0.08697908,0.9324324324324325,0.0,0.0
Uformer + PathologyLoss,BraTS2021_00006,31.73751,0.9862409830093384,0.08202871,0.952112676056338,0.6612244897959184,0.6612244897959184
Uformer + PathologyLoss,BraTS2021_00006,31.494549,0.9867911338806152,0.081730545,0.9710806697108066,0.84688995215311,0.789873417721519
Uformer + PathologyLoss,BraTS2021_00006,31.559078,0.9869864583015442,0.08108932,0.9495683780099955,0.8932384341637011,0.8183807439824945
Uformer + PathologyLoss,BraTS2021_00006,31.483795,0.9864516854286194,0.08198887,0.939531057178116,0.9098591549295775,0.8463157894736842
Uformer + PathologyLoss,BraTS2021_00006,31.954262,0.9880725145339966,0.07769513,0.9464489175845043,0.9138755980861244,0.8304761904761905
Uformer + PathologyLoss,BraTS2021_00006,31.54123,0.987701416015625,0.07902818,0.9564277997839395,0.9446185997910136,0.8734835355285961
Uformer + PathologyLoss,BraTS2021_00006,31.656937,0.9885687828063965,0.07743735,0.9678293261090416,0.9652582159624413,0.8697247706422019
Uformer + PathologyLoss,BraTS2021_00006,31.952576,0.9889779090881348,0.07432744,0.9659863945578231,0.9647266313932981,0.8901303538175046
