method,subject,psnr,ssim,nrmse,dice_wt,dice_tc,dice_et
SwinIR-lite (L1),BraTS2021_00006,30.727135,0.9770570397377014,0.103105195,0.8133704735376045,nan,nan
SwinIR-lite (L1),BraTS2021_00006,30.716393,0.9793224334716797,0.097990945,0.8290468986384266,nan,nan
SwinIR-lite (L1),BraTS2021_00006,31.013079,0.9799824357032776,0.09586573,0.8879492600422833,nan,nan
SwinIR-lite (L1),BraTS2021_00006,31.376755,0.9831298589706421,0.09004157,0.8832335329341318,nan,nan
SwinIR-lite (L1),BraTS2021_00006,31.252272,0.9849523901939392,0.08659859,0.9322459222082811,0.0,0.0
SwinIR-lite (L1),BraTS2021_00006,31.825445,0.9848306775093079,0.08368754,0.9299163179916318,0.7048192771084337,0.71875
SwinIR-lite (L1),BraTS2021_00006,31.847925,0.9860979914665222,0.08162106,0.9623839765510503,0.8737060041407867,0.8986175115207373
SwinIR-lite (L1),BraTS2021_00006,31.558636,0.987084686756134,0.08088701,0.9396878954027836,0.8852988691437803,0.865546218487395
SwinIR-lite (L1),BraTS2021_00006,31.447472,0.9856347441673279,0.08280934,0.9425547996976569,0.9584905660377359,0.9353049907578558
SwinIR-lite (L1),BraTS2021_00006,31.611977,0.985477089881897,0.08302566,0.9660159074475777,0.945823927765237,0.8850771869639794
SwinIR-lite (L1),BraTS2021_00006,31.539696,0.9859974384307861,0.08185652,0.9554817275747508,0.928030303030303,0.8902439024390244
SwinIR-lite (L1),BraTS2021_00006,31.604877,0.9868321418762207,0.08042458,0.9752120026092629,0.9550045913682277,0.8683760683760684
SwinIR-lite (L1),BraTS2021_00006,31.613245,0.9876348376274109,0.07815845,0.9471139317014203,0.9452166802943581,0.8881578947368421
SwinIR-lite (L1),BraTS2021_00006,31.592583,0.9887754917144775,0.07622729,0.9494531480934082,0.9581689029202841,0.8972267536704731
SwinIR-lite (L1),BraTS2021_00006,31.500587,0.9861356019973755,0.08096182,0.9524085896691816,0.9505535055350554,0.8703427719821163
SwinIR-lite (L1),BraTS2021_00006,31.408045,0.9882315993309021,0.077526055,0.9602061265387919,0.9514978601997147,0.8693009118541033
SwinIR-lite (L1),BraTS2021_00006,31.577572,0.987608790397644,0.07791296,0.9741282339707537,0.9822820694542878,0.9131121642969984
SwinIR-lite (L1),BraTS2021_00006,31.545586,0.9887056350708008,0.07511012,0.9428049098981457,0.9709655638082377,0.9112081513828238
SwinIR-lite (L1),BraTS2021_00006,31.60164,0.9885833859443665,0.07558735,0.9669184683511332,0.9692923898531375,0.9120234604105572
SwinIR-lite (L1),BraTS2021_00006,31.363834,0.988146960735321,0.07678309,0.9552238805970149,0.9400630914826499,0.8901251738525731
SwinIR-lite (L1),BraTS2021_00006,31.257885,0.9884548783302307,0.076571,0.9828022255943348,0.9719137818419333,0.9072753209700428
SwinIR-lite (L1),BraTS2021_00006,31.50377,0.9879975914955139,0.07661217,0.9800148038490007,0.9819354838709677,0.9105914718019257
SwinIR-lite (L1),BraTS2021_00006,31.383907,0.9894759654998779,0.07318555,0.9769322235434007,0.9701298701298702,0.8595271210013908
SwinIR-lite (L1),BraTS2021_00006,31.396353,0.9890415072441101,0.07356002,0.9842167255594817,0.9665379665379665,0.8626943005181347
SwinIR-lite (L1),BraTS2021_00006,31.594349,0.9896777272224426,0.07313967,0.9761960876738157,0.9673286354900704,0.8793774319066148
SwinIR-lite (L1),BraTS2021_00006,31.798775,0.9895457625389099,0.0720588,0.9638831377961813,0.9583875162548765,0.8950276243093923
SwinIR-lite (L1),BraTS2021_00006,31.931322,0.989767849445343,0.071846105,0.9699510831586303,0.9358889623265036,0.8806818181818182
SwinIR-lite (L1),BraTS2021_00006,31.675076,0.9899848103523254,0.07151386,0.9808112703424824,0.9743964886613021,0.8736681887366818
