method,subject,psnr,ssim,nrmse,dice_wt,dice_tc,dice_et
Uformer + PathologyLoss,BraTS2021_00000,29.061546,0.9644680023193359,0.13655466,0.0,0.0,0.0
Uformer + PathologyLoss,BraTS2021_00000,29.321968,0.9648783206939697,0.13207388,0.7681498829039812,0.7919799498746867,0.8144329896907216
Uformer + PathologyLoss,BraTS2021_00000,29.368427,0.9657305479049683,0.126856,0.8634361233480177,0.8706293706293706,0.8706293706293706
Uformer + PathologyLoss,BraTS2021_00000,29.424437,0.9636182188987732,0.12598464,0.8793619142572283,0.9130434782608695,0.9250585480093677
Uformer + PathologyLoss,BraTS2021_00000,29.1843,0.9641496539115906,0.12371248,0.8855633802816901,0.9015444015444015,0.9028459273797841
Uformer + PathologyLoss,BraTS2021_00000,29.004251,0.9645034670829773,0.12279767,0.8806774441878368,0.7841011743450768,0.772937905468026
Uformer + PathologyLoss,BraTS2021_00000,28.918135,0.9634932279586792,0.11992532,0.9504587155963303,0.9598445595854922,0.9304589707927677
Uformer + PathologyLoss,BraTS2021_00000,28.964615,0.9606368541717529,0.1222487,0.9490022172949002,0.9452679589509693,0.9093214965123653
Uformer + PathologyLoss,BraTS2021_00000,28.89951,0.9645874500274658,0.11559113,0.9583333333333334,0.9591115598182736,0.918165989553105
Uformer + PathologyLoss,BraTS2021_00000,28.801119,0.9621718525886536,0.116657145,0.9697256385998108,0.9711815561959655,0.9217081850533808
Uformer + PathologyLoss,BraTS2021_00000,28.64785,0.9588133692741394,0.11898163,0.9565217391304348,0.964035497431107,0.9180708890180128
Uformer + PathologyLoss,BraTS2021_00000,29.101818,0.9645298719406128,0.11183848,0.9809143364403018,0.980498866213152,0.9266862170087976
Uformer + PathologyLoss,BraTS2021_00000,29.426975,0.9631995558738708,0.109828226,0.9744699264387711,0.9800796812749004,0.9084507042253521
Uformer + PathologyLoss,BraTS2021_00000,29.443205,0.9670983552932739,0.10629696,0.9718605627887442,0.9726443768996961,0.8944020356234097
