method,subject,psnr,ssim,nrmse,dice_wt,dice_tc,dice_et
Uformer-lite (L1),BraTS2021_00000,29.04065,0.963826060295105,0.13688359,0.0,0.0,0.0
Uformer-lite (L1),BraTS2021_00000,29.17125,0.9630665183067322,0.13438562,0.5774647887323944,0.6007326007326007,0.6007326007326007
Uformer-lite (L1),BraTS2021_00000,29.359245,0.9654739499092102,0.12699015,0.8383045525902669,0.8998109640831758,0.8998109640831758
Uformer-lite (L1),BraTS2021_00000,29.414673,0.9632993340492249,0.12612633,0.8583420776495279,0.9025270758122743,0.9115479115479116
Uformer-lite (L1),BraTS2021_00000,29.274742,0.9646820425987244,0.122431,0.8806366047745358,0.8634538152610441,0.8702757916241062
Uformer-lite (L1),BraTS2021_00000,29.080154,0.9649521112442017,0.12172926,0.8496,0.5150501672240803,0.5270425776754891
Uformer-lite (L1),BraTS2021_00000,28.942316,0.9636082053184509,0.1195919,0.940809968847352,0.9388029589778076,0.894134477825465
Uformer-lite (L1),BraTS2021_00000,28.960682,0.9602982997894287,0.12230409,0.9367521367521368,0.9038929440389294,0.874430709173715
Uformer-lite (L1),BraTS2021_00000,28.862873,0.9644548892974854,0.11607972,0.9605734767025089,0.9603753910323254,0.9074410163339383
Uformer-lite (L1),BraTS2021_00000,28.769749,0.9619380831718445,0.11707924,0.9673704414587332,0.9682772083943387,0.9096422073984233
Uformer-lite (L1),BraTS2021_00000,28.656422,0.9591207504272461,0.11886427,0.9546495648190564,0.9654846335697399,0.9053254437869822
Uformer-lite (L1),BraTS2021_00000,29.121592,0.9648506045341492,0.11158416,0.9688768606224628,0.9695290858725761,0.9026442307692307
Uformer-lite (L1),BraTS2021_00000,29.32513,0.962257981300354,0.11112358,0.9667832167832168,0.9767441860465116,0.9008363201911589
Uformer-lite (L1),BraTS2021_00000,29.3592,0.9665257334709167,0.10733,0.9621115368241805,0.9676848162903939,0.8792528352234823
Uformer-lite (L1),BraTS2021_00000,29.861801,0.9722755551338196,0.10190234,0.9550144449030128,0.9652476107732406,0.8714499252615845
Uformer-lite (L1),BraTS2021_00000,29.569454,0.9734792113304138,0.10143877,0.9618677042801557,0.9654605263157895,0.8971840209561232
Uformer-lite (L1),BraTS2021_00000,29.479897,0.9734666347503662,0.10045149,0.9714503235629997,0.973015873015873,0.9231692677070829
